,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
547,548,116.0,2.0,USA,75000000.0,45434443.0,175960,360.0,362.0,43000,0.0,15000.0,509.0,104.0,15735,7.3,Good
3120,3121,98.0,2.0,USA,10000000.0,30306281.0,12388,147.0,92.0,744,7.0,931.0,797.0,73.0,1917,5.6,Fair
2275,2276,123.0,0.0,USA,20000000.0,13391174.0,5796,177.0,36.0,0,6.0,541.0,249.0,85.0,908,6.3,Good
814,815,103.0,4.0,USA,58000000.0,80021740.0,47968,154.0,218.0,35000,11.0,2000.0,1000.0,543.0,5497,6.4,Good
1166,1167,100.0,2.0,USA,42000000.0,37652565.0,91151,283.0,291.0,20000,308.0,10000.0,2000.0,913.0,15369,5.4,Fair
533,534,125.0,6.0,USA,75000000.0,117698894.0,447979,629.0,384.0,105000,255.0,11000.0,988.0,963.0,13312,7.3,Good
3710,3711,127.0,0.0,USA,5000000.0,,22123,108.0,69.0,0,130.0,617.0,53.0,51.0,799,7.2,Good
1818,1819,109.0,0.0,UK,25000000.0,,19568,208.0,56.0,0,181.0,303.0,146.0,137.0,960,6.7,Good
701,702,116.0,0.0,France,62000000.0,77086030.0,65297,602.0,178.0,0,84.0,11000.0,919.0,563.0,14931,6.6,Good
2223,2224,105.0,6.0,USA,20000000.0,25677801.0,41273,136.0,91.0,0,99.0,2000.0,938.0,518.0,4813,5.8,Fair
4492,4493,110.0,3.0,Germany,27000000.0,22494487.0,262160,507.0,202.0,10000,118.0,13000.0,11000.0,1000.0,26451,7.8,Good
3429,3430,102.0,0.0,France,,10105505.0,35065,288.0,160.0,0,341.0,844.0,521.0,15.0,1389,6.8,Good
3588,3589,98.0,3.0,USA,6000000.0,39800000.0,81599,250.0,71.0,0,11000.0,13000.0,573.0,484.0,14921,7.4,Good
1769,1770,96.0,0.0,USA,28000000.0,39514713.0,60494,132.0,36.0,16000,197.0,580.0,336.0,115.0,1275,6.7,Good
5028,5029,111.0,0.0,Japan,1000000.0,94596.0,6318,50.0,78.0,817,62.0,89.0,13.0,6.0,115,7.4,Good
51,52,131.0,0.0,USA,190000000.0,101785482.0,381148,1106.0,575.0,83000,0.0,16000.0,968.0,919.0,19166,7.0,Good
1471,1472,82.0,6.0,USA,35000000.0,25871834.0,52052,173.0,121.0,0,82.0,1000.0,642.0,418.0,3266,4.5,Fair
2961,2962,94.0,1.0,USA,12000000.0,16300302.0,64682,203.0,325.0,0,655.0,9000.0,786.0,390.0,10575,6.3,Good
2271,2272,95.0,2.0,France,20000000.0,14291570.0,82082,236.0,289.0,10000,4.0,788.0,447.0,80.0,1414,6.1,Good
4224,4225,120.0,0.0,USA,2280000.0,76400000.0,71321,230.0,99.0,3000,11.0,16.0,0.0,,16,7.8,Good
4747,4748,89.0,1.0,USA,500000.0,133778.0,3086,9.0,26.0,0,6.0,14.0,9.0,8.0,44,8.4,Excellent
1372,1373,123.0,0.0,UK,38000000.0,26903709.0,312629,475.0,393.0,83000,2000.0,26000.0,10000.0,471.0,37206,8.1,Excellent
3307,3308,124.0,3.0,UK,,1043487.0,27766,314.0,103.0,0,162.0,23000.0,776.0,277.0,24102,7.0,Good
4469,4470,87.0,1.0,USA,1000000.0,19539.0,4182,53.0,35.0,3000,4.0,2000.0,1000.0,624.0,6227,6.2,Good
1951,1952,95.0,0.0,USA,25000000.0,17791031.0,109855,888.0,251.0,0,0.0,11000.0,876.0,98.0,11994,7.3,Good
1266,1267,136.0,3.0,USA,40000000.0,42615685.0,136093,416.0,303.0,24000,3000.0,14000.0,9000.0,3000.0,28927,6.1,Good
2161,2162,91.0,1.0,USA,20000000.0,94497271.0,17829,99.0,100.0,0,67.0,2000.0,641.0,597.0,4729,3.7,Bad
1021,1022,108.0,2.0,USA,22000000.0,9528092.0,38513,127.0,214.0,9000,218.0,6000.0,3000.0,405.0,10191,6.8,Good
1217,1218,99.0,0.0,USA,40000000.0,70163652.0,31968,82.0,65.0,663,14.0,17000.0,826.0,633.0,19334,4.6,Fair
2912,2913,69.0,0.0,USA,12500000.0,48092846.0,61753,133.0,24.0,5000,383.0,912.0,320.0,191.0,1833,7.3,Good
4370,4371,113.0,0.0,USA,1800000.0,,6267,103.0,53.0,368,15.0,647.0,642.0,491.0,2439,5.3,Fair
1177,1178,101.0,0.0,France,,,590,5.0,9.0,161,326.0,326.0,152.0,6.0,488,4.9,Fair
3071,3072,96.0,0.0,Italy,,,618,12.0,28.0,85,4.0,917.0,545.0,199.0,1827,6.2,Good
1901,1902,98.0,5.0,USA,26000000.0,84136909.0,267921,577.0,181.0,0,285.0,640000.0,8000.0,7000.0,656730,7.2,Good
1417,1418,90.0,0.0,USA,35000000.0,63826569.0,32416,138.0,83.0,0,0.0,19000.0,957.0,945.0,23504,6.3,Good
2851,2852,97.0,2.0,USA,18000000.0,27141959.0,19547,168.0,45.0,0,84.0,899.0,842.0,782.0,2936,2.5,Bad
4916,4917,89.0,3.0,USA,2500000.0,,374,10.0,25.0,83,0.0,236.0,189.0,31.0,518,5.4,Fair
1112,1113,133.0,0.0,USA,45000000.0,24343673.0,91860,524.0,156.0,14000,278.0,5000.0,117.0,107.0,5405,7.4,Good
685,686,100.0,0.0,USA,70000000.0,17218080.0,43376,249.0,60.0,0,36.0,13000.0,773.0,554.0,15944,5.7,Fair
2882,2883,125.0,2.0,Germany,13000000.0,1172769.0,28068,108.0,94.0,0,0.0,22000.0,14000.0,968.0,37606,7.1,Good
4596,4597,105.0,2.0,USA,1000000.0,,1434,43.0,8.0,27,5.0,590.0,231.0,73.0,1042,5.2,Fair
251,252,119.0,3.0,UK,110000000.0,125332007.0,149680,328.0,160.0,0,55.0,811.0,766.0,387.0,2958,6.5,Good
3658,3659,111.0,0.0,Thailand,200000000.0,11905519.0,30210,214.0,112.0,0,64.0,778.0,635.0,380.0,2205,7.1,Good
4884,4885,151.0,0.0,USA,245000.0,,4849,45.0,48.0,226,54.0,81.0,12.0,6.0,108,8.3,Excellent
3953,3954,119.0,4.0,USA,4000000.0,,3297,42.0,46.0,798,8.0,3000.0,3000.0,2000.0,10984,6.0,Fair
1246,1247,98.0,1.0,USA,40000000.0,59588068.0,89557,376.0,207.0,0,326.0,21000.0,534.0,416.0,22318,5.8,Fair
582,583,117.0,0.0,USA,120000000.0,244052771.0,263853,584.0,256.0,0,487.0,1000.0,843.0,769.0,4905,7.2,Good
1304,1305,110.0,2.0,USA,40000000.0,5773519.0,28618,91.0,159.0,11000,118.0,11000.0,1000.0,287.0,12876,6.0,Fair
1393,1394,95.0,0.0,USA,36000000.0,2954405.0,1977,64.0,63.0,133,31.0,944.0,886.0,450.0,2928,5.3,Fair
1904,1905,97.0,0.0,USA,25000000.0,47124400.0,49676,181.0,128.0,0,52.0,14000.0,2000.0,579.0,17278,6.6,Good
27,28,131.0,0.0,USA,209000000.0,65173160.0,202382,751.0,377.0,44000,532.0,14000.0,10000.0,627.0,26679,5.9,Fair
4191,4192,107.0,1.0,USA,2500000.0,1282084.0,6221,87.0,74.0,500,7.0,745.0,631.0,442.0,2125,7.0,Good
1340,1341,93.0,2.0,USA,39000000.0,30400000.0,17810,73.0,23.0,478,36.0,592.0,516.0,275.0,2176,5.7,Fair
3646,3647,95.0,1.0,USA,12000000.0,65804.0,32512,86.0,162.0,0,24.0,16000.0,10000.0,874.0,27575,6.3,Good
4771,4772,94.0,0.0,USA,150000.0,,60,2.0,3.0,381,0.0,918.0,402.0,212.0,2091,4.0,Bad
1967,1968,90.0,0.0,USA,25000000.0,18860403.0,20823,130.0,231.0,0,160.0,963.0,936.0,852.0,4952,4.0,Bad
2189,2190,111.0,0.0,USA,20000000.0,42652003.0,18915,87.0,61.0,33000,132.0,1000.0,465.0,455.0,2851,6.8,Good
2631,2632,112.0,1.0,USA,15000000.0,42919096.0,64747,122.0,238.0,12000,29.0,12000.0,1000.0,874.0,15800,6.5,Good
3525,3526,106.0,0.0,USA,7000000.0,382946.0,43965,99.0,134.0,19000,58.0,23000.0,20000.0,973.0,44969,7.1,Good
754,755,124.0,2.0,USA,60000000.0,51045801.0,11370,54.0,34.0,829,50.0,1000.0,944.0,672.0,3653,6.1,Good
138,139,90.0,0.0,USA,150000000.0,165230261.0,182718,209.0,284.0,20000,90.0,11000.0,10000.0,15.0,21015,7.3,Good
2259,2260,124.0,0.0,USA,20000000.0,16248701.0,189683,559.0,192.0,0,0.0,6000.0,979.0,430.0,7567,7.7,Good
157,158,154.0,1.0,USA,140000000.0,111110575.0,317166,928.0,190.0,0,380.0,10000.0,956.0,445.0,11945,7.7,Good
4450,4451,113.0,2.0,UK,1455000.0,,1978,41.0,10.0,209,74.0,984.0,423.0,387.0,2140,5.5,Fair
680,681,135.0,1.0,USA,65000000.0,32598931.0,49300,265.0,134.0,892,138.0,324.0,192.0,184.0,1013,6.2,Good
911,912,157.0,0.0,USA,40000000.0,95720716.0,216032,640.0,558.0,39000,0.0,1000.0,1000.0,304.0,2759,7.4,Good
247,248,112.0,,USA,135000000.0,81638674.0,17533,115.0,181.0,12000,13.0,5000.0,833.0,799.0,8306,6.3,Good
731,732,125.0,1.0,USA,60000000.0,75764085.0,85844,322.0,121.0,0,420.0,12000.0,3000.0,627.0,16646,6.7,Good
4757,4758,87.0,6.0,USA,500000.0,1332.0,2038,20.0,29.0,898,38.0,552.0,533.0,445.0,2251,4.6,Fair
1842,1843,175.0,14.0,USA,26000000.0,50800000.0,40277,210.0,56.0,0,0.0,385.0,232.0,14.0,669,7.4,Good
291,292,106.0,1.0,USA,100000000.0,65452312.0,149998,285.0,267.0,0,12000.0,18000.0,464.0,385.0,19906,6.4,Good
2943,2944,144.0,1.0,UK,150000000.0,167007184.0,470501,2301.0,400.0,0,258.0,6000.0,1000.0,834.0,9125,8.0,Good
4029,4030,99.0,2.0,UK,2200000.0,104257.0,19194,160.0,47.0,0,8.0,798.0,472.0,78.0,1430,7.1,Good
31,32,195.0,3.0,USA,200000000.0,408992272.0,557489,1187.0,608.0,95000,1000.0,21000.0,4000.0,3000.0,30426,7.2,Good
4375,4376,93.0,1.0,USA,500000.0,145540.0,26773,277.0,114.0,0,75.0,701.0,461.0,446.0,2489,6.7,Good
47,48,132.0,0.0,USA,190000000.0,228756232.0,395573,1171.0,590.0,92000,14000.0,19000.0,981.0,928.0,21411,7.8,Good
1028,1029,102.0,4.0,USA,50000000.0,28837115.0,34964,150.0,226.0,28000,0.0,14000.0,8000.0,1000.0,24107,4.8,Fair
4838,4839,94.0,0.0,USA,300000.0,40542.0,294,16.0,16.0,26,37.0,318.0,157.0,104.0,751,5.5,Fair
68,69,126.0,3.0,USA,140000000.0,318298180.0,696338,1055.0,486.0,10000,4000.0,21000.0,12000.0,4000.0,39252,7.9,Good
921,922,104.0,3.0,USA,52000000.0,23020488.0,42324,180.0,127.0,846,13.0,961.0,691.0,343.0,2422,5.5,Fair
3971,3972,152.0,2.0,USA,3800000.0,14873.0,5294,67.0,53.0,251,541.0,773.0,575.0,288.0,2888,6.8,Good
1318,1319,105.0,0.0,USA,20000000.0,80050171.0,186982,491.0,253.0,0,154.0,884.0,617.0,502.0,2288,6.9,Good
5013,5014,80.0,0.0,Canada,,,15091,129.0,58.0,0,892.0,986.0,918.0,492.0,3197,6.3,Good
3272,3273,90.0,0.0,India,600000000.0,1602466.0,9673,106.0,41.0,0,116.0,594.0,412.0,303.0,1836,6.0,Fair
1958,1959,115.0,1.0,USA,16000000.0,15045676.0,76303,376.0,287.0,0,219.0,902.0,837.0,258.0,2466,5.6,Fair
1604,1605,103.0,2.0,USA,30000000.0,106694016.0,123940,337.0,145.0,0,11000.0,22000.0,979.0,636.0,24333,6.7,Good
504,505,102.0,0.0,UK,52000000.0,1891821.0,16474,301.0,113.0,785,0.0,1000.0,307.0,212.0,1890,4.2,Fair
4964,4965,103.0,0.0,Canada,100000.0,,16701,23.0,50.0,0,0.0,0.0,0.0,0.0,0,7.7,Good
3189,3190,111.0,0.0,USA,10000000.0,3333823.0,5612,122.0,23.0,0,60.0,823.0,759.0,699.0,5262,5.5,Fair
3091,3092,117.0,1.0,USA,10000000.0,85300000.0,48629,134.0,52.0,0,425.0,13000.0,11000.0,901.0,27378,6.9,Good
3609,3610,42.0,0.0,UK,6000000.0,7518876.0,172,5.0,9.0,28,0.0,844.0,0.0,,844,6.5,Good
568,569,153.0,1.0,USA,75000000.0,51814190.0,100837,301.0,230.0,0,0.0,11000.0,561.0,130.0,11852,6.4,Good
1729,1730,103.0,3.0,Switzerland,30000000.0,,12410,62.0,132.0,6000,61.0,963.0,903.0,520.0,2806,5.7,Fair
388,389,100.0,3.0,USA,120000000.0,56114221.0,110486,695.0,369.0,41000,128.0,596.0,360.0,78.0,1261,4.3,Fair
4020,4021,88.0,0.0,,3500000.0,,455,13.0,9.0,570,19.0,795.0,535.0,322.0,2497,4.8,Fair
4077,4078,94.0,3.0,USA,,9016377.0,1004,8.0,16.0,143,9.0,927.0,209.0,200.0,1936,5.2,Fair
263,264,120.0,3.0,USA,110000000.0,66002193.0,44296,144.0,181.0,12000,124.0,6000.0,5000.0,943.0,12452,5.8,Fair
2096,2097,83.0,0.0,USA,22000000.0,22264487.0,41239,166.0,98.0,887,2.0,591.0,489.0,137.0,1729,4.6,Fair
948,949,124.0,3.0,USA,,75621915.0,111003,199.0,257.0,22000,488.0,19000.0,13000.0,1000.0,36873,7.1,Good
3346,3347,126.0,0.0,USA,8000000.0,1997807.0,5158,140.0,46.0,196,407.0,638.0,107.0,39.0,823,7.1,Good
1718,1719,88.0,1.0,UK,30000000.0,2975649.0,23864,142.0,124.0,0,108.0,876.0,142.0,135.0,1518,7.0,Good
1605,1606,123.0,0.0,USA,29000000.0,64286.0,396396,1111.0,177.0,57000,415.0,33000.0,638.0,545.0,34495,7.9,Good
502,503,94.0,0.0,France,86000000.0,15131330.0,25843,64.0,101.0,941,0.0,563.0,80.0,14.0,683,6.0,Fair
827,828,116.0,2.0,USA,70000000.0,36931089.0,70681,198.0,157.0,12000,51.0,11000.0,3000.0,622.0,16484,5.6,Fair
2548,2549,111.0,0.0,USA,18500000.0,6462576.0,1449,30.0,24.0,0,19.0,241.0,118.0,107.0,824,5.4,Fair
320,321,95.0,1.0,USA,100000000.0,4411102.0,20295,164.0,66.0,416,31.0,3000.0,695.0,683.0,6161,3.8,Bad
1361,1362,110.0,2.0,USA,38000000.0,623374.0,4757,67.0,31.0,474,49.0,1000.0,569.0,427.0,2120,5.2,Fair
4736,4737,86.0,0.0,USA,500000.0,1114943.0,3562,74.0,46.0,0,7.0,328.0,27.0,17.0,407,6.5,Good
3259,3260,98.0,1.0,USA,9500000.0,57176582.0,27492,84.0,55.0,0,41.0,723.0,706.0,525.0,3939,6.1,Good
2768,2769,98.0,1.0,USA,15000000.0,68856263.0,69733,97.0,39.0,0,226.0,953.0,730.0,496.0,2496,6.9,Good
1204,1205,128.0,0.0,USA,40000000.0,95001343.0,66511,200.0,216.0,28000,241.0,11000.0,3000.0,898.0,16911,7.5,Good
2906,2907,140.0,0.0,Denmark,12800000.0,4157491.0,79330,690.0,177.0,0,3000.0,963.0,595.0,322.0,2894,8.0,Good
3892,3893,95.0,2.0,USA,8500000.0,131175.0,30219,200.0,256.0,22000,9.0,584.0,430.0,428.0,1885,5.6,Fair
4108,4109,102.0,1.0,USA,3000000.0,,22246,196.0,65.0,0,9.0,904.0,281.0,221.0,1663,6.9,Good
1606,1607,111.0,1.0,USA,30000000.0,76806312.0,124501,154.0,175.0,0,98.0,2000.0,805.0,71.0,2978,6.1,Good
74,75,113.0,1.0,USA,178000000.0,100189501.0,431620,741.0,585.0,77000,218.0,10000.0,854.0,509.0,12652,7.9,Good
1139,1140,147.0,3.0,USA,44000000.0,53300852.0,154487,259.0,73.0,0,272.0,22000.0,11000.0,893.0,37076,7.5,Good
98,99,182.0,,USA,180000000.0,303001229.0,637246,1367.0,645.0,166000,0.0,5000.0,972.0,773.0,9152,7.9,Good
2125,2126,116.0,0.0,USA,22000000.0,11326836.0,83171,231.0,288.0,17000,108.0,23000.0,820.0,120.0,24134,6.8,Good
3133,3134,98.0,0.0,USA,10000000.0,25464480.0,63108,330.0,183.0,15000,58.0,14000.0,537.0,242.0,15251,5.9,Fair
4519,4520,73.0,1.0,Canada,1600000.0,39659.0,1555,32.0,58.0,131,126.0,14.0,4.0,3.0,21,7.0,Good
3780,3781,112.0,1.0,USA,5000000.0,2445646.0,32382,99.0,163.0,13000,52.0,10000.0,963.0,688.0,12897,7.0,Good
1224,1225,106.0,2.0,USA,40000000.0,59068786.0,86902,411.0,131.0,0,212.0,578.0,563.0,389.0,2544,6.4,Good
4726,4727,87.0,6.0,USA,,,1305,3.0,8.0,244,490.0,833.0,523.0,201.0,2295,5.4,Fair
4852,4853,91.0,3.0,USA,250000.0,4186931.0,6041,85.0,71.0,169,132.0,400.0,286.0,225.0,1330,6.9,Good
1368,1369,150.0,7.0,USA,37000000.0,92173235.0,280228,420.0,378.0,29000,0.0,10000.0,4000.0,206.0,14296,7.6,Good
2291,2292,87.0,0.0,USA,9000000.0,8579684.0,89547,199.0,168.0,0,0.0,22000.0,557.0,548.0,24324,7.4,Good
290,291,141.0,0.0,USA,115000000.0,146282411.0,190439,351.0,94.0,0,0.0,2000.0,1000.0,618.0,4528,7.2,Good
3191,3192,89.0,0.0,USA,9000000.0,3193102.0,24412,240.0,111.0,944,0.0,402.0,296.0,132.0,1335,7.1,Good
835,836,142.0,0.0,USA,55000000.0,329691196.0,1251222,1398.0,149.0,59000,0.0,15000.0,294.0,194.0,15700,8.8,Excellent
189,190,147.0,1.0,USA,130000000.0,138396624.0,178126,511.0,94.0,0,0.0,10000.0,898.0,877.0,12954,6.6,Good
623,624,88.0,1.0,USA,70000000.0,8460990.0,5116,54.0,51.0,5000,6.0,2000.0,1000.0,854.0,6946,5.6,Fair
368,369,92.0,0.0,USA,90000000.0,85884815.0,9418,53.0,70.0,0,12.0,35000.0,1000.0,1000.0,38450,5.0,Fair
750,751,115.0,1.0,USA,60000000.0,56702901.0,23302,181.0,110.0,1000,234.0,3000.0,552.0,521.0,4713,6.5,Good
4525,4526,82.0,4.0,USA,950000.0,,387508,1123.0,242.0,23000,345.0,2000.0,607.0,269.0,3442,8.6,Excellent
64,65,144.0,6.0,USA,178000000.0,154985087.0,148379,622.0,396.0,54000,0.0,34000.0,13000.0,1000.0,49684,7.3,Good
3937,3938,117.0,2.0,USA,4000000.0,371897.0,36494,118.0,232.0,11000,234.0,12000.0,1000.0,221.0,13607,6.9,Good
3172,3173,87.0,1.0,USA,,6857503.0,32697,85.0,212.0,0,44.0,1000.0,939.0,727.0,4769,6.3,Good
4524,4525,76.0,0.0,Italy,1100000.0,,332,10.0,9.0,200,0.0,12.0,0.0,0.0,12,2.6,Bad
4894,4895,93.0,0.0,Australia,200000.0,,152232,303.0,208.0,10000,750.0,728.0,76.0,28.0,928,7.0,Good
1558,1559,87.0,1.0,France,32000000.0,43095600.0,156267,340.0,163.0,0,255.0,26000.0,1000.0,810.0,29050,6.3,Good
560,561,113.0,4.0,USA,45000000.0,21009180.0,45815,222.0,114.0,1000,212.0,2000.0,845.0,568.0,4397,6.1,Good
3979,3980,109.0,0.0,UK,2000000.0,2706659.0,17770,172.0,112.0,0,13.0,3000.0,796.0,480.0,5977,6.9,Good
688,689,130.0,0.0,UK,50000000.0,1987287.0,25474,138.0,127.0,0,2000.0,268.0,85.0,25.0,450,6.9,Good
2958,2959,115.0,0.0,USA,12000000.0,17613460.0,91082,274.0,433.0,28000,729.0,1000.0,844.0,622.0,3798,7.8,Good
2227,2228,98.0,0.0,Australia,20000000.0,29975979.0,105797,281.0,292.0,0,35.0,125.0,37.0,16.0,189,6.5,Good
2373,2374,118.0,1.0,China,,,1904,12.0,23.0,332,0.0,483.0,91.0,30.0,635,6.2,Good
3625,3626,93.0,0.0,USA,,,522,5.0,12.0,84,10.0,397.0,77.0,34.0,546,5.4,Fair
2328,2329,107.0,2.0,USA,20000000.0,1190018.0,261317,1137.0,146.0,20000,110.0,23000.0,876.0,722.0,25088,7.5,Good
1854,1855,118.0,1.0,France,42000000.0,16252765.0,44913,181.0,93.0,3000,49.0,11000.0,216.0,155.0,11662,6.0,Fair
478,479,25.0,1.0,USA,,,11427,71.0,31.0,0,,1000.0,960.0,474.0,2614,7.6,Good
1698,1699,150.0,0.0,USA,30000000.0,12712093.0,70771,671.0,222.0,0,0.0,23000.0,909.0,855.0,27829,6.7,Good
843,844,74.0,3.0,USA,55000000.0,104354205.0,162331,332.0,153.0,0,58.0,3000.0,864.0,729.0,5713,6.3,Good
4363,4364,109.0,0.0,USA,,841206.0,2603,34.0,68.0,952,0.0,553.0,471.0,186.0,1439,6.3,Good
37,38,130.0,4.0,USA,215000000.0,234903076.0,175409,511.0,525.0,60000,0.0,44000.0,15000.0,11000.0,73441,6.4,Good
1997,1998,92.0,2.0,USA,25000000.0,1550000.0,30628,471.0,143.0,937,892.0,783.0,595.0,492.0,2930,2.9,Bad
2960,2961,91.0,0.0,USA,12000000.0,17292381.0,5794,69.0,37.0,371,25.0,833.0,626.0,611.0,4551,5.3,Fair
2788,2789,108.0,4.0,USA,14000000.0,15483540.0,56338,215.0,160.0,4000,123.0,26000.0,14000.0,690.0,41359,6.5,Good
4664,4665,95.0,2.0,USA,850000.0,,59,1.0,5.0,18,0.0,940.0,188.0,167.0,1484,7.4,Good
3193,3194,135.0,0.0,UK,10000000.0,3041803.0,6377,181.0,96.0,345,25.0,902.0,576.0,553.0,2735,7.1,Good
515,516,108.0,1.0,France,81200000.0,1339152.0,28276,64.0,119.0,31000,54.0,12000.0,11000.0,6000.0,30230,7.8,Good
44,45,140.0,0.0,USA,190000000.0,350034110.0,278232,657.0,424.0,94000,0.0,26000.0,23000.0,14000.0,79150,7.2,Good
670,671,159.0,1.0,UK,65000000.0,55637680.0,227071,1500.0,280.0,10000,0.0,10000.0,580.0,521.0,11424,7.3,Good
3093,3094,109.0,1.0,France,10000000.0,78845130.0,17596,94.0,165.0,0,65.0,798.0,465.0,393.0,2480,6.1,Good
770,771,100.0,2.0,USA,60000000.0,43337279.0,76770,203.0,170.0,0,11000.0,10000.0,1000.0,485.0,12258,4.9,Fair
4671,4672,90.0,0.0,USA,780000.0,1310270.0,17725,157.0,33.0,1000,38.0,214.0,115.0,69.0,587,6.8,Good
1371,1372,96.0,3.0,USA,37000000.0,48006503.0,28109,110.0,139.0,0,3.0,18000.0,82.0,35.0,18178,6.0,Fair
3496,3497,100.0,1.0,USA,7500000.0,9176553.0,19147,97.0,160.0,0,11.0,13000.0,3000.0,970.0,19330,7.1,Good
38,39,142.0,0.0,USA,200000000.0,202853933.0,321227,1067.0,495.0,41000,464.0,15000.0,10000.0,825.0,28631,6.7,Good
3935,3936,106.0,0.0,USA,4000000.0,399793.0,2877,70.0,31.0,111,81.0,2000.0,811.0,687.0,4343,5.4,Fair
1383,1384,121.0,3.0,UK,36000000.0,55500000.0,48636,214.0,89.0,0,883.0,180.0,172.0,133.0,762,6.2,Good
2313,2314,111.0,3.0,USA,20000000.0,5205343.0,11958,39.0,79.0,1000,650.0,690.0,224.0,181.0,1573,6.4,Good
2486,2487,170.0,1.0,USA,17000000.0,72000000.0,66959,258.0,82.0,0,165.0,453.0,272.0,244.0,1164,7.9,Good
3310,3311,300.0,3.0,Thailand,400000000.0,454255.0,1666,47.0,31.0,124,6.0,7.0,6.0,6.0,32,6.6,Good
4093,4094,98.0,0.0,USA,3000000.0,3902679.0,3943,49.0,22.0,217,16.0,687.0,233.0,222.0,1806,5.3,Fair
3594,3595,109.0,0.0,USA,6000000.0,26236603.0,251349,547.0,391.0,10000,0.0,1000.0,245.0,120.0,1582,7.9,Good
4455,4456,91.0,0.0,USA,1400000.0,,330,6.0,4.0,223,58.0,847.0,147.0,69.0,1159,6.9,Good
4662,4663,88.0,1.0,France,800000.0,2073984.0,4743,135.0,59.0,219,6.0,302.0,270.0,68.0,663,7.2,Good
4035,4036,98.0,4.0,Canada,4300000.0,,6549,75.0,101.0,934,73.0,595.0,251.0,129.0,1105,6.6,Good
4848,4849,96.0,0.0,USA,250000.0,,1905,58.0,78.0,249,5.0,431.0,338.0,180.0,1228,4.5,Fair
1128,1129,114.0,2.0,China,45000000.0,6565495.0,36455,229.0,189.0,0,611.0,879.0,52.0,10.0,949,7.0,Good
2045,2046,98.0,1.0,USA,24000000.0,23225911.0,80574,157.0,196.0,12000,88.0,12000.0,854.0,706.0,14699,6.5,Good
1336,1337,113.0,1.0,USA,40000000.0,29802761.0,46480,115.0,211.0,12000,88.0,22000.0,13000.0,785.0,36009,6.4,Good
4729,4730,89.0,0.0,USA,500000.0,5739376.0,58260,286.0,154.0,0,310.0,22000.0,833.0,587.0,24419,7.7,Good
1598,1599,103.0,3.0,USA,26000000.0,105444419.0,31817,117.0,50.0,0,37.0,944.0,893.0,452.0,3143,6.2,Good
3872,3873,112.0,4.0,UK,3000000.0,26345.0,16445,99.0,111.0,0,63.0,2000.0,1000.0,422.0,4810,6.1,Good
473,474,102.0,1.0,USA,80000000.0,80360866.0,44662,127.0,178.0,0,153.0,3000.0,1000.0,269.0,5392,5.2,Fair
4920,4921,89.0,0.0,Iran,180000.0,925402.0,27882,130.0,46.0,0,373.0,36.0,35.0,27.0,100,8.5,Excellent
624,625,133.0,1.0,USA,70000000.0,7097125.0,38983,207.0,261.0,11000,0.0,26000.0,326.0,301.0,28129,5.4,Fair
4109,4110,87.0,0.0,USA,3000000.0,252726.0,1289,18.0,5.0,76,84.0,702.0,366.0,331.0,2715,7.2,Good
1474,1475,91.0,0.0,USA,35000000.0,20275446.0,95274,178.0,248.0,20000,192.0,23000.0,1000.0,346.0,24669,6.5,Good
342,343,119.0,1.0,UK,100000000.0,23014504.0,172707,462.0,355.0,37000,0.0,40000.0,11000.0,968.0,54031,6.3,Good
1522,1523,195.0,0.0,USA,35000000.0,,16255,127.0,57.0,0,631.0,635.0,631.0,521.0,2291,7.5,Good
1873,1874,185.0,0.0,USA,22000000.0,96067179.0,865020,1273.0,174.0,41000,14000.0,14000.0,795.0,212.0,15233,8.9,Excellent
4133,4134,90.0,3.0,USA,3000000.0,,13599,30.0,23.0,6000,2000.0,2000.0,606.0,454.0,3666,5.8,Fair
3146,3147,84.0,1.0,USA,12600000.0,15417771.0,87494,540.0,191.0,0,36.0,2000.0,683.0,648.0,3416,6.1,Good
654,655,140.0,0.0,USA,62000000.0,172071312.0,208817,296.0,159.0,5000,2000.0,15000.0,968.0,552.0,17171,7.6,Good
891,892,117.0,1.0,USA,54000000.0,81645152.0,158267,559.0,224.0,0,0.0,12000.0,919.0,845.0,15371,6.7,Good
2429,2430,94.0,0.0,USA,18000000.0,17071230.0,31169,192.0,128.0,812,11000.0,11000.0,11000.0,975.0,23283,6.7,Good
4687,4688,170.0,0.0,USA,700000.0,7830611.0,18980,74.0,53.0,0,23.0,7.0,6.0,2.0,15,8.3,Excellent
3408,3409,104.0,1.0,USA,8000000.0,16168741.0,99430,182.0,283.0,43000,109.0,480.0,12.0,7.0,517,7.4,Good
4272,4273,91.0,0.0,USA,2000000.0,3885134.0,31130,243.0,151.0,0,244.0,538.0,363.0,244.0,1349,7.4,Good
1355,1356,105.0,0.0,USA,57000000.0,16991902.0,34592,191.0,107.0,0,65.0,628.0,316.0,108.0,1265,6.2,Good
3899,3900,60.0,1.0,USA,,,3852,47.0,9.0,634,,1000.0,1000.0,904.0,5203,7.5,Good
